Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Year,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,ConGen,ConRen,Cons,Polps,PpsGe,PpsGe:St,PpsGe:Sub,PpsEx,PpsEx:St,PpsEx:Sub,PpsOro,PpsOro:St,PpsOro:Sub,PpsOthPr,PpsOthPr:St,PpsOthPr:Sub,PpsVet,PpsVet:St,PpsVet:Sub,PpsAut,PpsAut:St,PpsAut:Sub,PpsInt,PpsInt:St,PpsInt:Sub,PpsOth,PpsOth:St,PpsOth:Sub,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,HrBor,HrTrinc,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrCit,CitGen,CitRights,CitDef,CitOth,HrDem,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrMob,Prot,ProtCiv,ProtGrp,ProtOth,RiOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Philippines/(Mindanao),Government/territory,90,Philippines - Mindanao process,Asia and Pacific,944,1,Joint Press Release,1997,07/01/1997,Multiparty signed/agreed,2,1787,Intra,Pre,Proc,"Asec. Jovenal Lazaga, GRP Committee on Agenda Setting Chair
Mgen. Joselin Nazareno, GRP Committee on Cessation of Hostilities Chair
Prof. Moner Bajunaid, MILF Committee on Agenda Setting Chair 
Atty. Lanang Ali, MILF Committee on Cessation of Hostilities Chair",,,PHL,,840,,308,,,786,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,Government,116,Tajikistan peace process,Europe and Eurasia,516,1,Protocol on Refugee Issues,1997,13/01/1997,Multiparty signed/agreed,2,4460,Intra,SubPar,MultIss,"(Signed) Talbak NAZAROV, Head of the delegation of the Government of the Republic of Tajikistan

(Signed) Khoja Akbar TURAJONZODAH, Head of the delegation of the United Tajik Opposition","(Signed) Gerd Dietrich MERREM, Special Representative of the Secretary-General of the United Nations for Tajikistan

The parties also expressed their gratitude for their assistance to the UNHRC, OSCE, donor countries and the Aga Khan Foundation.","With a view to overcoming the consequences of the civil war and achieving peace and national accord in the country, and in accordance with the protocol on the fundamental principles for establishing peace and national accord in Tajikistan of 17 August 1995, the joint statement on the results of the fourth round of inter-Tajik talks in Almaty and the appeal by the President of the Republic of Tajikistan, Mr. Emomali S. Rakhmonov, and the leader of the United Tajik Opposition, Mr. S. Abdullo Nuri, to their fellow countrymen who had been forced to leave the country, adopted in Moscow on 23 December 1996, the delegations of the Republic of Tajikistan and the United Tajik Opposition (hereinafter referred to as ""the Parties""), have agreed as follows:",TJK,,702,,395,,,876,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Israel/(Palestine),Government/territory,63,Israel-Palestine peace process,Middle East and North Africa,1246,1,Note for the Record,1997,15/01/1997,Multiparty signed/agreed,2,3024,Intra,Imp,ExtSub,"Israel, Prime Minister Benjamin Netanyahu; Palestinian Liberation Organisation, Ra'ees [President/head] Yasser Arafat.",U.S. Special Middle East Coordinator,,ISR,,666,,234,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Israel/(Palestine),Government/territory,63,Israel-Palestine peace process,Middle East and North Africa,500,1,Protocol Concerning the Redeployment in Hebron,1997,17/01/1997,Multiparty signed/agreed,9,15679,Intra,Imp,ImpMod,"Israel, signed by D. Shomrom; PLO, signed by S. Erakat",,Annex I to the Interim Agreement;,ISR,,666,,234,1137,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Central African Republic,Government,13,CAR: Bangui process,Africa (excl MENA),488,1,Preliminary Agreement on National Reconciliation Pact,1997,18/01/1997,Multiparty signed/agreed,9,17061,Intra,Pre,Prin,"Political parties:
(Signed)
ADP
FC
CN
FPP
ELAN
GILA-MND
MDD
MDI/S
MDREC
MESAN
MESAN/B
MLPC
MNR
PCD
MSCA
PLD
PARELI
PRC
UNDRP
RDC
UNDD
UDR/FK
UPDES
UPR

Trade unions:
CNTC USTC
USTC
USTC

Civil society:
(a) Religious denominations:
AEEC
(b) Human rights, justice and
CECA
democracy:
CICA
ACAT
LCDH
AFJC
MDDH
GERDES
OCDH

(c) National organizations:
JEUNESSE                       OFCA

(d) Occupational organizations: UNPC

Notes
a Complete names of political parties, trade unions and members of civil society signatories to 
this Agreement:

ACAT     Association Centrafricaine de Lutte contre la Torture et l'Abolition de la Peina de Mort

ADP      Alliance pour la Démocratie et le Progrès

AEEC     Association des Eglises Evangéliques Centrafricaines AFJC     Association des Femmes 
juristes de Centrafrique
CCTC     Confédération Chrétienne des Travailleurs Centrafricains CECA     Conférence Episcopale 
Centrafricaine
CICA     Communauté Islamique Centrafricaine CN       Convention Nationale
CNTC     Confédération Nationale des Travailleurs Centrafricains

CSTC     Confédération Syndicale des Travailleurs Centrafricains ELAN     Effort Libéral en Afrique 
Noire
FC       Forum Civique

FPP      Front Patriotique pour le Progès

GERDDES  Groupement d'Etudes et de Recherches pour la Démocratie et le Développement Economique et 
Social

GILA/MND GILA-Mouvement National pour la Démocratie JEUNESSE Comité Ad Hoc de la Jeunesse
LCDH     Ligue Centrafricaine des Droits de l'Homme

MDD      Mouvement pour la Démocratie et le Développement

MDDH     Mouvement pour la Défense des Droits de l'Homme

MDI/PS   Mouvement pour la Démocratie, l'Indépendance et le Progrès Social MDREC    Mouvement pour 
la Démocratie en République Centrafricaine
MESAN    Mouvement d'Evolution Sociale de l'Afrique Noire

MESAN/B  Mouvement d'Evolution Sociale de l'Afrique Noire/Barthélémy Boganda

MLPC     Mouvement de Libération du Peuple Centrafricain MNR      Mouvement de National pour le 
Renouveau
MSCA     Mouvement Socialiste Centrafricain

OCDH     Observatoire Centrafricain des Droits de l'Homme OFCA     Organisation des Femmes 
Centrafricaines
OSLP     Organisation des Syndicats Libres des Secteurs Public, Para-Public et Privé

PARELI   Parti Républicain Libéral

UNPC     Union Nationale du Patronat Centrafricain PCD      Parti Chrétien Démocrate
PLD      Parti Libéral Democrate

PRC      Parti Républicain Centrafricain PSD      Parti Social Démocrate
RDC      Rassemblement du Peuple Centrafricain UND/FK   Union Démocratie Républicaine/Fini Kodro
UDRP     Union pour la Démocratie et le Renouveau Panafricain UNDD     Union Nationale pour la 
Défense de la Démocratie
UPDES    Union du Peuple pour le Développement Economique et Social UPR      Union pour la 
République
USTC     Union Syndicale des Travailleurs de Centrafrique",,,CAF,,482,,416,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Tajikistan,Government,116,Tajikistan peace process,Europe and Eurasia,428,1,Joint Statement by the Delegation of the Goverment of Tajikistan and the Delegation of the United Tajik Opposition,1997,19/01/1997,Multiparty signed/agreed,2,4447,Intra,Pre,Proc,"(Signed) T. Nazarov, Head of the delegation of the Government of the Republic of Tajikistan 

(Signed) Khoja Akbar TUPAJONZODAM, Head of delegation of the United Tajik opposition","Signed Gerd Dietrick MERREM (The Special Representative of the United Nations Secretary-General for Tajikistan)

Observers: Iran, Kazakstan, Kyrgyzstan, Pakistan, Russian Federation, Turkmenistan, Uzbekistan, the OSCE, the Organization of the Islamic Conference","In accordance with the agreements reached, the parties conducted an in-depth discussion of issues relating to the size of the commission on national reconciliation, who should serve on it and its specific functions and powers. In this context, they reviewed a draft protocol on political problems, of which the agreement and protocol of 23 December 1996 form integral parts.",TJK,,702,,395,1313,,876,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1
Israel/(Palestine),Government/territory,63,Israel-Palestine peace process,Middle East and North Africa,277,1,Agreement on Temporary International Presence in the City of Hebron (II),1997,21/01/1997,Multiparty signed/agreed,3,6398,Intra,Imp,ExtSub,"Israel, signed for Eytan Bentsur; PLO, signed for by Saeb Erekat.",,"Article VII of Annex I of the Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip, dated September 28, 1995 (""the Interim Agreement""); Agreement on the Temporary International Presence in the City of Hebron, dated May 9, 1996p;",ISR,,666,,234,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Colombia,Government,98,Colombia II - Samper,Americas,1124,1,Preacuerdo entre el Gobierno Nacional y el MIR-COAR,1997,21/01/1997,Multiparty signed/agreed,3,3469,Intra,Pre,PreMix,"For the national government:
HORACIO SERPA URIBE, Minister of the Interior
DANIEL GARCIA-PEÑA, Peace Commissioner
TOMÁS CONCHA SANZ, Head of the Presidential Reinsertion Programme

For MIR–COAR:
LUIS FERNANDO QUIJANO MORENO
ALVARO DE JESÚS RAMÍREZ RIVERA
SANTIAGO QUIJANO MORENO
CARLOS MARIO ARENAS LÓPEZ",,,COL,,100,,289,,,856,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Central African Republic,Government,13,CAR: Bangui process,Africa (excl MENA),3,1,"Declaration of Heads of State, Bangui (Bangui Accords)",1997,25/01/1997,Multiparty signed/agreed,2,2552,InterIntra,Ren,Repre,"Parties – For the delegation of heads of African States: His Excellency El Hadj Omar BONGO. For the Central African Republic: His Excellency Mr Felix-Ange PATASSE. For the French Republic: His Excellency Mr Jean-Marc SIMON, Ambassador and Senior Representative.",,"Page 1, UNTITLED PREAMBLE
…
Take note of the Preliminary Agreement on a National Reconciliation Pact, which is the outcome of a broad consultation of those representing the vital forces of the Central African nation, thereby embodying the solemn commitment of the political parties, the trade union federations and the civil society to respect the constitutional legal order and to lend full support to all initiatives to promote dialogue and national reconciliation",CAF,,482,,416,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Central African Republic,Government,13,CAR: Bangui process,Africa (excl MENA),598,1,"Declaration on the End of the Rebellious Action, Bangui (Bangui Accords)",1997,25/01/1997,Multiparty signed/agreed,2,3802,Intra,Imp,ExtSub,"For the International Monitoring 
(Signed) Amadou Toumani TOURE 

For the Officers:
Committee:
(Signed) Anicet SAULET
Chairman Captain",,"Page 1, UNTITLED PREAMBLE
…
Bearing in mind that, in the wake of this mission, the International Monitoring Committee was established to implement the measures contained in the final communiqué of 8 December 1996 and to find a peaceful and lasting solution to the Central African crisis, and noting the encouraging results achieved 
…
Taking into account the recommendations adopted by the General Meeting on National Defence on 9 September 1996 in Bangui 
Taking into account the general report and recommendations adopted by the Committee on Consensus-building and Dialogue on 18 January 1997 in Bangui 
Taking into account the Declaration prior to the agreement to end the rebellion adopted on 24 January 1997 in Bangui",CAF,,482,,416,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,1,0,0,1,1
Philippines/(Mindanao),Government/territory,90,Philippines - Mindanao process,Asia and Pacific,406,1,"Interim Cessation of Hostilities in Buldon, Maguindanao",1997,27/01/1997,Multiparty signed/agreed,2,2419,Intra,Cea,Ceas,"M/Gen. Joselin B. Nazareno, AFP, GRP Committee on Cessation of Hostilities Chairman
Atty. Lanang Ali, MILF Committee on Cessation of Hostilities Chairman",,,PHL,,840,,308,,,786,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1210,1,Decisions on Mostar of 12 February 1997,1997,12/02/1997,Multiparty signed/agreed,3,7294,IntraLocal,Imp,ExtSub,"President Izetbegovic, President Zubak, Co-Chairman Silajdzic, Vice-Chairman Tomic, Foreign Minister Prlic, Croatian Democratic Union of Bosnia and Herzegovina (HDZ) President Rajic, Democratic Action Party (SDA) Vice-President and Prime Minister Bicakcic, Mostar Mayor Prskalo and Deputy Mayor Orucevic","The meeting was chaired by the Principal Deputy High Representative, Mr. Michael Steiner. Also present were the Commander of the Stabilization Force (SFOR), General Crouch, Acting Police Commissioner Wasserman and Head of the Office of the High Representative South, Sir Martin Garrod.","Page 1, Untitled preamble
The participants committed themselves to undertake all efforts to calm down tensions, to overcome the present crisis and to implement fully existing Federation agreements, including the Mostar provisions of the Agreed Measures of the Federation Forum of 3 February.",BIH,,346,,398,,,215,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,0,0,0,0,0,0,1,0,1,0,1
Tajikistan,Government,116,Tajikistan peace process,Europe and Eurasia,219,1,Additional Protocol to the Protocol on the main functions and powers of the Commission on National Reconciliation,1997,21/02/1997,Multiparty signed/agreed,1,1785,Intra,Imp,ImpMod,"(Signed) E. S. RAKHMONOV President of the Republic of Tajikistan

(Signed) S. A. NURI Leader of the United Tajik Opposition",(Signed) G. D. MERREM Special Representative of the Secretary-General of the United Nations,"Page 1, Annex II, 3:

The phrase ""development of a mechanism for converting the military-political movements into political parties"" in the Protocol on the main functions and powers of the Commission on National Reconciliation dated 23 December 1996 shall be deemed null and void from the date of signing of the Protocol on Military Issues, since this matter will be discussed under the heading of military issues.",TJK,,702,,395,,,876,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
